Symbol,Best max_depth,R²,MAPE
ACB,5,-16.9787,0.1765
BCM,5,0.9034,0.0219
BID,5,-8.8462,0.1509
BVH,5,0.9727,0.0137
CTG,5,0.4550,0.0346
FPT,5,-12.1762,0.4550
GAS,5,0.9272,0.0118
GVR,5,0.9369,0.0176
HDB,5,-5.2060,0.1956
HPG,5,0.5963,0.0232
LPB,5,-2.7130,0.3750
MBB,5,-0.3159,0.0503
MSN,5,0.8975,0.0184
MWG,5,0.9575,0.0168
PLX,5,0.9693,0.0142
SAB,5,0.0940,0.0373
SHB,5,0.9320,0.0164
SSB,5,0.4052,0.0370
SSI,5,0.8793,0.0178
STB,5,0.7849,0.0303
TCB,5,0.9187,0.0165
TPB,10,0.8538,0.0227
VCB,10,-16.0343,0.1367
VHM,5,0.2161,0.0840
VIB,5,0.8336,0.0153
VIC,15,-1.3236,0.2044
VJC,5,0.6362,0.0217
VNM,5,0.9447,0.0094
VPB,5,0.8483,0.0136
VRE,5,0.7806,0.0579
