sep=,
[R-squared] Model,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
RVFL,0.9392695485184049,0.9651405572628053,0.9375451664664227,0.9825820698947156,0.9736585356919103,0.9885173087178658,0.9682500571653174,0.9548038650045736,0.974966618465062,0.9219187118076984,0.9959425384054383,0.9562077736120201,0.965534001371869,0.9805987128136593,0.9815349140800518,0.9470189436532351,0.9743653232714358,0.9501565790949663,0.954256936888661,0.9838503920984658,0.9672085769378587,0.9664798267308617,0.9071116968940706,0.9776151648210133,0.9313489780853941,0.9814621698258956,0.9671491478230533,0.968965093501884,0.9316758365446042,0.9818015623497027
dRVFL,0.9391981161484713,0.9649900337121299,0.937479153927991,0.9826697799264621,0.9735866793655474,0.9885624649660765,0.9679509928284012,0.9547643294005786,0.9746809882144162,0.9219580114701487,0.9959565223847743,0.9560621253074097,0.9654411306628422,0.9805301168452688,0.9814077592829973,0.9470110037088342,0.9743344087166363,0.9499620858248223,0.9542360758631624,0.9838488770917622,0.967150676400881,0.9664268136256926,0.9071025519438598,0.9775703996564784,0.9316055219131144,0.981424053013222,0.9672498945779694,0.968957962257275,0.9316027828155209,0.9817271270243069
edRVFL,0.9392446334976562,0.9650668660111172,0.9374422344409072,0.9826733767098244,0.9736025134990176,0.9885367473321535,0.9684215117352872,0.9572495445587975,0.9747970170594303,0.921952900234821,0.9959519327290252,0.9561466846701727,0.9655154309258343,0.9805512444492394,0.9816842885878176,0.9470051186416935,0.9743453526630905,0.950315258275158,0.9542442615766149,0.9838638105812433,0.9671941295704563,0.9664634014040462,0.9071372583521912,0.9776050837869026,0.9315193397576074,0.9814401763761752,0.9671519608104183,0.9689615379998224,0.9316568837105744,0.981732203172853
