[R-squared] Flags,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
0,0.9355836046439342,0.9660656130538497,0.9339390799960672,0.9819913304043273,0.9697998554467016,0.9879462216193804,0.9681380774148141,0.953132760842323,0.9739104860096639,0.9173689565920351,0.9957249715432279,0.9556165338834197,0.964088965381231,0.979080721610984,0.9812754980408098,0.9477132155872923,0.9718044712101281,0.9474165621346773,0.947639875293081,0.9826881238923602,0.963545303522629,0.9644206206709818,0.906169802650594,0.9777349972121506,0.9242060505821824,0.9836315850513381,0.9658396061573344,0.9668488546204846,0.927090073472109,0.9845322497057516
1,0.935311322022,0.9660148491028502,0.9343608894814792,0.9816816485524842,0.969586686502592,0.987894409250148,0.9670916611414607,0.9527852183479844,0.9738268851434414,0.9161054810224135,0.9957251032205332,0.955275699203654,0.9641393689713625,0.978815518794335,0.9811853972650684,0.9459892461523158,0.971213490364085,0.9471737149017933,0.9472294341398972,0.9823816071003315,0.9636918898035001,0.9642860232727343,0.9058326627684783,0.9770739618682753,0.9234535639658342,0.983279746047458,0.9644032622803191,0.9663142562773808,0.9254000197196649,0.9831819484390314
2,0.9355245014936359,0.9659781267734837,0.9338921862858495,0.9811398156624842,0.969382373420618,0.9872292909856282,0.9671951970675209,0.9517880114454979,0.9733354118304973,0.9149790855342986,0.9957273490700878,0.9542782598015909,0.9612528095861578,0.9789823630225691,0.9809672992887597,0.9456855194183051,0.9717113930241441,0.9430140566204694,0.9456938636807732,0.9822723690843889,0.9616386444493931,0.963209154861223,0.9061990984197945,0.9759699157515708,0.9240065503144639,0.9833459667973298,0.9620443155337325,0.9651113993806846,0.9226926577305863,0.9819905324304842
3,0.9348043143680169,0.9654863764753849,0.932813558498377,0.9807929948383962,0.9693157415032704,0.9869367333791601,0.9661779404683197,0.9499124183722863,0.9727186812284916,0.9134089893786103,0.9956763567821824,0.9540135028227749,0.9601539506181231,0.9782488099758743,0.9798822999799631,0.9446965606187262,0.9707566397444489,0.9380070433525648,0.9431448646126501,0.9821323767928223,0.9601425309937177,0.9620171774196647,0.9034443905705132,0.975915903156007,0.9208300425601217,0.9830870354363159,0.9612299779796124,0.9642776492245134,0.9215137135529778,0.9798677752214251
4,0.9352402875565713,0.9651258528409655,0.9310649468525352,0.9798292972293005,0.9684457826870083,0.9856727481126819,0.9664186164733126,0.9491678666417181,0.9720641591592529,0.9086880299419726,0.9956081633605963,0.953944318184621,0.9573403759251077,0.9781193908989636,0.9793590366361818,0.9399522941792396,0.9700351180895003,0.9318920765994054,0.9428915672858741,0.9819694491837816,0.9593192997936644,0.9614709570215586,0.8958187941969269,0.975229424321722,0.9203848562414753,0.9830344410362261,0.9605841107668807,0.9643880116892797,0.9193038471786599,0.9793682379991576
5,0.9349488695031295,0.964912399995481,0.9303414636625693,0.9794668715874522,0.9680437612113523,0.9853531064925107,0.9646879678026518,0.9487321871821197,0.9717228753922175,0.9078978530386363,0.9955641566136451,0.9536269278082359,0.9560083794477741,0.977988908395774,0.9792586622280921,0.9363127418678168,0.9696674847897879,0.9260133579906391,0.9414719488206995,0.9821850486436036,0.9586682808399549,0.9602064796833273,0.8937743284323767,0.9754403552632116,0.9194820076346332,0.9832249548945079,0.9600501166856712,0.9647672876237857,0.918663890655285,0.9782981030277691
6,0.9349488695113066,0.964912399990872,0.9303414636555427,0.9794668715884975,0.9680437612116499,0.9853531064949705,0.9646879677933468,0.9487321871748085,0.9717228753929461,0.9078978530210813,0.9955641566142206,0.9536269278106861,0.9560083794466929,0.9779889083947326,0.9792586622304178,0.9363127418146585,0.9696674847855388,0.9260133580031422,0.9414719488340704,0.9821850486425057,0.9586682808620052,0.960206479677287,0.8937743284176535,0.9754403552629904,0.9194820076365888,0.983224954893871,0.9600501166885348,0.9647672876239008,0.9186638906292206,0.9782981030254867
