time,open,high,low,close,volume
2019-01-02,74.82,76.36,74.52,76.36,403570
2019-01-03,76.36,76.36,74.88,75.69,449730
2019-01-04,75.44,76.98,74.52,76.98,498470
2019-01-07,78.64,80.67,77.29,80.67,897430
2019-01-08,80.92,80.92,79.26,80.06,448350
2019-01-09,80.06,81.6,79.44,81.23,636050
2019-01-10,81.23,81.29,80.61,81.1,301700
2019-01-11,81.1,82.52,81.1,82.52,954110
2019-01-14,81.91,83.14,81.84,83.14,611420
2019-01-15,83.14,83.26,82.52,83.08,598510
2019-01-16,82.52,82.95,81.29,81.91,562220
2019-01-17,81.91,82.15,81.04,81.41,514870
2019-01-18,81.91,83.08,81.91,82.52,545600
2019-01-21,82.58,82.58,81.47,82.4,279380
2019-01-22,82.64,83.14,81.91,82.52,399040
2019-01-23,83.08,83.14,82.4,82.83,1028650
2019-01-24,83.14,83.44,82.71,83.44,1077600
2019-01-25,83.75,83.94,83.51,83.69,813810
2019-01-28,84.06,84.12,83.69,84.06,487650
2019-01-29,84.37,84.37,83.44,84.06,371010
2019-01-30,84.12,84.12,83.44,83.44,279280
2019-01-31,84.06,84.06,82.21,83.14,812290
2019-02-01,83.63,83.63,81.91,83.14,731430
2019-02-11,83.14,84.92,83.08,84.37,1357210
2019-02-12,84.98,85.11,84.37,84.98,957440
2019-02-13,84.98,85.23,83.88,85.17,764480
2019-02-14,85.17,86.4,84.98,85.85,1341090
2019-02-15,86.22,86.4,85.91,86.34,910160
2019-02-18,86.46,87.76,86.4,87.45,1082650
2019-02-19,88.06,88.25,87.69,87.82,1974200
2019-02-20,88.06,88.37,87.94,88.06,983460
2019-02-21,88.37,91.82,88.06,91.45,1859260
2019-02-22,91.76,92.07,91.33,91.7,814320
2019-02-25,91.76,93.98,91.57,93.36,1211040
2019-02-26,92.37,93.61,89.3,89.97,806810
2019-02-27,90.1,92.37,90.1,90.96,484610
2019-02-28,91.45,91.45,86.89,86.89,976450
2019-03-01,88.62,88.62,87.08,87.08,868720
2019-03-04,87.14,88.62,87.14,88.0,876760
2019-03-05,87.76,87.94,87.2,87.45,532510
2019-03-06,87.45,87.94,85.29,86.83,711250
2019-03-07,87.02,87.45,85.91,86.03,708000
2019-03-08,85.6,85.91,83.51,84.37,980860
2019-03-11,84.06,85.54,84.06,84.74,423100
2019-03-12,84.98,85.91,84.98,85.6,560360
2019-03-13,85.91,86.28,85.11,85.17,616010
2019-03-14,85.6,85.6,84.18,84.68,920860
2019-03-15,84.49,84.98,84.06,84.37,1254050
2019-03-18,84.98,85.35,84.68,84.98,910690
2019-03-19,84.98,84.98,84.12,84.31,936230
2019-03-20,84.06,85.29,83.26,85.29,1269860
2019-03-21,85.6,86.15,83.75,83.75,885480
2019-03-22,83.75,84.37,83.44,84.06,526570
2019-03-25,82.95,84.06,82.89,84.06,582580
2019-03-26,84.06,84.61,83.75,84.06,684470
2019-03-27,84.12,84.49,83.94,84.06,682000
2019-03-28,84.0,84.06,83.26,83.26,816770
2019-03-29,83.26,84.06,83.01,83.01,1357400
2019-04-01,83.44,85.35,83.14,85.35,796720
2019-04-02,86.15,86.15,84.55,85.6,1233340
2019-04-03,85.6,85.6,84.74,85.29,683970
2019-04-04,85.23,86.09,84.98,84.98,469730
2019-04-05,84.98,84.98,83.94,83.94,1017700
2019-04-08,84.61,84.8,84.06,84.49,546190
2019-04-09,84.92,84.92,83.14,83.38,1148040
2019-04-10,83.14,84.06,83.14,83.32,873110
2019-04-11,83.32,83.88,83.32,83.51,383850
2019-04-12,83.51,83.81,83.08,83.57,684520
2019-04-16,83.14,84.0,83.14,83.75,514140
2019-04-17,84.0,84.31,83.08,83.14,864260
2019-04-18,83.14,83.44,83.08,83.26,601240
2019-04-19,83.44,83.51,81.6,81.91,599290
2019-04-22,80.67,81.29,79.56,79.81,1417290
2019-04-23,78.89,79.75,78.03,78.21,974950
2019-04-24,78.7,79.75,78.46,79.75,482490
2019-04-25,79.81,79.87,79.01,79.75,414330
2019-04-26,79.93,80.24,79.63,79.93,565240
