Symbol,R2
ACB,0.5554960370063782
BCM,0.9503023028373718
BID,0.6942506432533264
BVH,0.9783989191055298
CTG,0.951733410358429
FPT,0.08166331052780151
GAS,0.9619618654251099
GVR,0.8857938051223755
HDB,0.8619479537010193
HPG,0.8716933727264404
LPB,0.3626849055290222
MBB,0.8859179019927979
MSN,0.947404146194458
MWG,0.9676081538200378
PLX,0.9804021716117859
SAB,0.7839517593383789
SHB,0.9621248245239258
SSB,0.9009979963302612
SSI,0.9328821897506714
STB,0.97768235206604
TCB,0.8994479775428772
TPB,0.9472863674163818
VCB,0.8542479276657104
VHM,0.9499669671058655
VIB,0.8695746660232544
VIC,0.94794100522995
VJC,0.9632564783096313
VNM,0.9669106006622314
VPB,0.8998084664344788
VRE,0.9739400744438171
