time,open,high,low,close,volume,Up,HighVol,BreakMA5
2019-01-02,2.82,2.82,2.75,2.78,2033485,0,0,0
2019-01-03,2.78,2.82,2.67,2.71,6882054,0,1,0
2019-01-04,2.71,2.75,2.67,2.71,3820522,0,0,0
2019-01-07,2.75,2.78,2.71,2.78,2727864,1,0,0
2019-01-08,2.78,2.78,2.71,2.71,1689051,0,0,0
2019-01-09,2.75,2.78,2.71,2.78,3395083,1,0,1
2019-01-10,2.78,2.78,2.71,2.71,3572910,0,0,0
2019-01-11,2.71,2.75,2.71,2.71,2306683,0,0,0
2019-01-14,2.75,2.78,2.71,2.71,5212044,0,0,0
2019-01-15,2.71,2.78,2.67,2.75,3934698,1,1,1
2019-01-16,2.75,2.78,2.71,2.71,1316558,0,0,0
2019-01-17,2.75,2.75,2.71,2.71,2192409,0,0,0
2019-01-18,2.75,2.75,2.71,2.71,2322572,0,0,0
2019-01-21,2.71,2.82,2.71,2.78,7800814,1,1,1
2019-01-22,2.78,2.82,2.71,2.71,2980253,0,1,0
2019-01-23,2.71,2.78,2.71,2.75,986585,1,0,1
2019-01-24,2.75,2.78,2.71,2.75,3546651,0,0,1
2019-01-25,2.78,2.78,2.71,2.75,2046634,0,0,1
2019-01-28,2.78,2.78,2.71,2.75,4082476,0,0,1
2019-01-29,2.75,2.75,2.71,2.75,1784661,0,0,0
2019-01-30,2.75,2.78,2.71,2.78,3354788,1,0,1
2019-01-31,2.75,2.82,2.75,2.78,3127875,0,0,1
2019-02-01,2.75,2.78,2.75,2.78,1495350,0,0,1
2019-02-11,2.75,2.98,2.75,2.94,9468726,1,1,1
2019-02-12,2.9,2.98,2.9,2.98,7180566,1,0,1
2019-02-13,2.98,3.02,2.94,2.98,6728714,0,0,1
2019-02-14,2.98,3.05,2.94,3.05,9152025,1,1,1
2019-02-15,3.05,3.05,2.98,2.98,6955297,0,0,0
2019-02-18,2.98,3.02,2.94,2.98,5593251,0,0,0
2019-02-19,2.98,3.02,2.9,2.9,7813159,0,1,0
2019-02-20,2.9,2.98,2.9,2.9,4970891,0,0,0
2019-02-21,2.9,2.98,2.9,2.9,2822196,0,0,0
2019-02-22,2.94,3.02,2.9,2.94,5760463,1,1,1
2019-02-25,2.94,3.02,2.94,2.94,4821870,0,0,1
2019-02-26,2.98,2.98,2.9,2.94,4584332,0,0,1
2019-02-27,2.9,2.98,2.9,2.94,4203700,0,0,1
2019-02-28,2.94,2.94,2.86,2.86,4771835,0,0,0
2019-03-01,2.86,2.94,2.86,2.94,3959591,1,0,1
2019-03-04,2.9,2.98,2.9,2.94,4671322,0,0,1
2019-03-05,2.94,2.98,2.9,2.9,4242228,0,0,0
2019-03-06,2.9,2.98,2.9,2.94,4924862,1,0,1
2019-03-07,2.94,3.09,2.94,3.05,18895406,1,1,1
2019-03-08,3.05,3.05,2.98,3.02,5751186,0,0,1
2019-03-11,3.02,3.05,2.98,3.02,2760603,0,0,1
2019-03-12,3.02,3.13,2.98,3.13,12186115,1,1,1
2019-03-13,3.13,3.21,3.05,3.05,15340168,0,1,0
2019-03-14,3.05,3.13,3.05,3.05,4877970,0,0,0
2019-03-15,3.05,3.13,3.05,3.09,6504595,1,0,1
2019-03-18,3.09,3.13,3.05,3.09,4357444,0,0,1
2019-03-19,3.09,3.13,3.05,3.05,9026975,0,0,0
2019-03-20,3.05,3.05,2.98,3.02,6551630,0,0,0
2019-03-21,3.05,3.05,2.98,2.98,6578268,0,0,0
2019-03-22,2.98,2.98,2.94,2.98,4204525,0,0,0
2019-03-25,2.94,2.94,2.86,2.86,8605126,0,0,0
2019-03-26,2.86,2.94,2.86,2.86,4178627,0,0,0
2019-03-27,2.9,2.98,2.9,2.94,5114273,1,0,1
2019-03-28,2.98,2.98,2.9,2.94,2475298,0,0,1
2019-03-29,2.94,2.98,2.9,2.9,1433927,0,0,0
2019-04-01,2.94,2.98,2.9,2.98,1837471,1,0,1
2019-04-02,2.98,3.02,2.9,2.94,1895038,0,1,0
2019-04-03,2.94,2.98,2.9,2.94,701166,0,0,0
2019-04-04,2.94,2.94,2.9,2.94,4877249,0,0,0
2019-04-05,2.94,2.94,2.9,2.9,698791,0,0,0
2019-04-08,2.9,2.98,2.9,2.98,2864982,1,0,1
2019-04-09,2.98,2.98,2.9,2.9,2670693,0,0,0
2019-04-10,2.94,2.94,2.86,2.9,2464239,0,0,0
2019-04-11,2.9,2.94,2.9,2.94,1650873,1,0,1
2019-04-12,2.9,2.94,2.86,2.9,1590806,0,0,0
2019-04-16,2.9,2.94,2.82,2.94,5268355,1,1,1
2019-04-17,2.94,2.94,2.86,2.86,1125252,0,0,0
2019-04-18,2.9,2.94,2.86,2.86,2975338,0,0,0
2019-04-19,2.9,2.94,2.86,2.9,2359687,1,0,1
2019-04-22,2.94,2.94,2.86,2.9,2006486,0,0,1
2019-04-23,2.9,2.94,2.86,2.9,2541541,0,0,1
